algorithm,num_layers,hidden_size,train_size,seed,epoch,train_loss,test_acc,wall_time_s
BP,2,256,5000,2,14,0.001835,0.9483,6.44
BP,2,256,5000,2,15,0.001521,0.9481,6.89
BP,2,256,5000,2,16,0.001316,0.9476,7.35
BP,2,256,5000,2,17,0.001158,0.9486,7.81
BP,2,256,5000,2,18,0.001028,0.9485,8.28
BP,2,256,5000,2,19,0.000906,0.9486,8.74
BP,2,256,5000,2,20,0.000807,0.9486,9.21
BP,2,256,5000,2,21,0.000728,0.9485,9.67
BP,2,256,5000,2,22,0.000657,0.9489,10.14
BP,2,256,5000,2,23,0.000596,0.949,10.6
BP,2,256,5000,2,24,0.000548,0.9491,11.06
BP,2,256,5000,2,25,0.000502,0.9489,11.52
BP,2,256,5000,2,26,0.000455,0.949,11.99
BP,2,256,5000,2,27,0.00042,0.9491,12.45
BP,2,256,5000,2,28,0.000384,0.9495,12.92
BP,2,256,5000,2,29,0.000352,0.9494,13.38
BP,2,256,5000,2,30,0.000326,0.9494,13.84
BP,4,256,100,0,1,2.264298,0.2357,0.29
BP,4,256,100,0,2,1.93717,0.4403,0.58
BP,4,256,100,0,3,1.569467,0.6156,0.87
BP,4,256,100,0,4,1.192376,0.6545,1.16
BP,4,256,100,0,5,0.846473,0.6599,1.46
BP,4,256,100,0,6,0.63849,0.7189,1.75
BP,4,256,100,0,7,0.417776,0.7577,2.04
BP,4,256,100,0,8,0.276684,0.7547,2.33
BP,4,256,100,0,9,0.172475,0.7467,2.63
BP,4,256,100,0,10,0.113608,0.7327,2.92
BP,4,256,100,0,11,0.076603,0.7223,3.21
BP,4,256,100,0,12,0.04973,0.7035,3.5
BP,4,256,100,0,13,0.033792,0.7017,3.8
BP,4,256,100,0,14,0.023662,0.7073,4.08
BP,4,256,100,0,15,0.016798,0.711,4.38
BP,4,256,100,0,16,0.013284,0.7122,4.67
BP,4,256,100,0,17,0.010588,0.7142,4.96
BP,4,256,100,0,18,0.009323,0.7158,5.25
BP,4,256,100,0,19,0.007338,0.7159,5.54
BP,4,256,100,0,20,0.006254,0.7147,5.83
BP,4,256,100,0,21,0.005366,0.7124,6.12
BP,4,256,100,0,22,0.004663,0.7134,6.42
