algorithm,num_layers,hidden_size,train_size,seed,inference_steps,epoch,train_energy,test_acc,wall_time_s
PC,2,256,500,1,10,26,143.408496,0.745,22.46
PC,2,256,500,1,10,27,143.190523,0.745,23.14
PC,2,256,500,1,10,28,143.033092,0.745,23.82
PC,2,256,500,1,10,29,142.867851,0.745,24.51
PC,2,256,500,1,10,30,142.789226,0.738,26.11
PC,2,256,500,1,20,1,207.762084,,1.09
PC,2,256,500,1,20,2,171.944301,,2.18
PC,2,256,500,1,20,3,161.494803,,3.27
PC,2,256,500,1,20,4,155.547001,,4.36
PC,2,256,500,1,20,5,151.461458,0.799,7.24
PC,2,256,500,1,20,6,148.404624,0.799,8.32
PC,2,256,500,1,20,7,146.035166,0.799,9.41
PC,2,256,500,1,20,8,144.16651,0.799,10.5
PC,2,256,500,1,20,9,142.643605,0.799,11.58
PC,2,256,500,1,20,10,141.380321,0.795,14.46
PC,2,256,500,1,20,11,140.348879,0.795,15.55
PC,2,256,500,1,20,12,139.551135,0.795,16.63
PC,2,256,500,1,20,13,138.787554,0.795,17.72
PC,2,256,500,1,20,14,138.311056,0.795,18.8
PC,2,256,500,1,20,15,137.802259,0.778,21.68
PC,2,256,500,1,20,16,137.188642,0.778,22.76
PC,2,256,500,1,20,17,136.992619,0.778,23.85
PC,2,256,500,1,20,18,136.747916,0.778,24.94
PC,2,256,500,1,20,19,136.344096,0.778,26.02
PC,2,256,500,1,20,20,136.178086,0.762,28.92
PC,2,256,500,1,20,21,135.953375,0.762,30.01
PC,2,256,500,1,20,22,135.816083,0.762,31.1
PC,2,256,500,1,20,23,135.608192,0.762,32.18
PC,2,256,500,1,20,24,135.734185,0.762,33.27
PC,2,256,500,1,20,25,135.574032,0.765,36.14
PC,2,256,500,1,20,26,135.396241,0.765,37.23
PC,2,256,500,1,20,27,135.320412,0.765,38.31
PC,2,256,500,1,20,28,135.193197,0.765,39.4
PC,2,256,500,1,20,29,135.194091,0.765,40.48
PC,2,256,500,1,20,30,134.99967,0.765,43.35
PC,2,256,500,1,50,1,204.148738,,2.31
PC,2,256,500,1,50,2,166.967192,,4.61
PC,2,256,500,1,50,3,156.241392,,6.91
PC,2,256,500,1,50,4,150.055956,,9.21
PC,2,256,500,1,50,5,145.836169,0.812,15.96
PC,2,256,500,1,50,6,142.678044,0.812,18.25
PC,2,256,500,1,50,7,140.262048,0.812,20.55
PC,2,256,500,1,50,8,138.660941,0.812,22.85
PC,2,256,500,1,50,9,137.292119,0.812,25.14
PC,2,256,500,1,50,10,135.980289,0.796,31.83
PC,2,256,500,1,50,11,134.940383,0.796,34.14
PC,2,256,500,1,50,12,135.193648,0.796,36.43
PC,2,256,500,1,50,13,133.560805,0.796,38.73
PC,2,256,500,1,50,14,132.925998,0.796,41.03
PC,2,256,500,1,50,15,132.683354,0.788,47.7
PC,2,256,500,1,50,16,132.745934,0.788,49.99
PC,2,256,500,1,50,17,132.092186,0.788,52.28
PC,2,256,500,1,50,18,132.421031,0.788,54.58
