algorithm,num_layers,hidden_size,train_size,seed,inference_steps,epoch,train_loss_or_energy,test_acc,wall_time_s,eval_time_s,optimiser_steps,inference_steps_total
PC,2,256,5000,0,20,8,143.476996,0.759,11.718,1.8811,5000,100000
PC,2,256,5000,0,20,9,143.139168,0.756,12.1631,2.2291,5000,100000
PC,2,256,5000,0,20,10,143.021218,0.747,11.6088,1.9345,5000,100000
PC,2,256,5000,0,20,11,142.921528,0.75,11.5377,1.8901,5000,100000
PC,2,256,5000,0,20,12,142.727543,0.758,12.3535,1.9449,5000,100000
PC,2,256,5000,0,20,13,142.638717,0.751,11.9177,1.8661,5000,100000
PC,2,256,5000,0,20,14,142.48333,0.755,11.684,1.8819,5000,100000
PC,2,256,5000,0,20,15,142.405137,0.75,11.6751,1.8977,5000,100000
PC,2,256,5000,0,20,16,142.324831,0.745,13.6243,1.8783,5000,100000
PC,2,256,5000,0,20,17,142.337418,0.737,11.9776,1.8926,5000,100000
PC,2,256,5000,0,20,18,142.175947,0.74,11.5757,1.8974,5000,100000
PC,2,256,5000,0,20,19,142.181431,0.743,11.5772,1.9161,5000,100000
PC,2,256,5000,0,20,20,142.116979,0.744,11.4494,1.8666,5000,100000
PC,2,256,5000,0,20,21,142.075293,0.741,11.4667,1.8577,5000,100000
PC,2,256,5000,0,20,22,142.064642,0.731,11.3053,1.8853,5000,100000
PC,2,256,5000,0,20,23,142.035271,0.727,11.3525,1.8864,5000,100000
PC,2,256,5000,0,20,24,142.023122,0.737,11.3315,1.8634,5000,100000
PC,2,256,5000,0,20,25,141.986708,0.721,11.3595,1.866,5000,100000
PC,2,256,5000,0,20,26,141.958697,0.726,11.3471,1.8617,5000,100000
PC,2,256,5000,0,20,27,141.891776,0.741,11.3399,1.8606,5000,100000
PC,2,256,5000,0,20,28,141.974692,0.74,11.3446,1.8667,5000,100000
PC,2,256,5000,0,20,29,141.902486,0.734,11.2999,1.8614,5000,100000
PC,2,256,5000,0,20,30,141.8256,0.743,11.3032,1.8643,5000,100000
PC,2,256,5000,0,50,1,193.561829,0.787,23.9496,4.5856,5000,250000
PC,2,256,5000,0,50,2,165.341466,0.768,23.9776,4.557,5000,250000
PC,2,256,5000,0,50,3,157.389975,0.777,24.1246,4.6096,5000,250000
PC,2,256,5000,0,50,4,149.064219,0.764,23.9496,4.656,5000,250000
PC,2,256,5000,0,50,5,146.12095,0.768,24.2712,4.9553,5000,250000
PC,2,256,5000,0,50,6,144.995608,0.768,24.2741,4.6451,5000,250000
PC,2,256,5000,0,50,7,144.116048,0.757,24.071,4.58,5000,250000
PC,2,256,5000,0,50,8,143.53294,0.751,24.0028,4.6268,5000,250000
PC,2,256,5000,0,50,9,143.099902,0.754,26.9292,4.9269,5000,250000
PC,2,256,5000,0,50,10,142.810473,0.734,24.8426,4.6072,5000,250000
PC,2,256,5000,0,50,11,142.596169,0.74,24.0139,4.5705,5000,250000
